Symbol,Name,IPO date,Market cap,Merger pending?,Leverage factor,Momentum factor 10,Momentum factor 200,Last Close Price,Shares outstanding,Average trading volume,% traded,Action,DB Ptnr?
VTAQ,Ventoux CCM Acquisition Corp.,2/5/2021,"$27,837,590 ",Y,-44.53,0.7,0.53,5.08,"5,567,518","282,612",5.08%,Analyze,
ACEV,ACE Convergence Acquisition Corp. - Class A,9/17/2020,"$41,346,723 ",Y,0,0.96,0.96,9.78,"3,945,298","31,566",0.80%,Analyze,
MPAC,Model Performance Acquisition Corp. Class A,6/7/2021,"$48,739,000 ",Y,0,0.84,0.82,8.4,"6,100,000","46,298",0.76%,Analyze,
MLAC,Malacca Straits Acquisition Company Limited - Class A,8/6/2020,"$49,408,286 ",Y,0,1,1.02,10.48,"4,705,551",128,0.00%,Analyze,
GPCO,Golden Path Acquisition Corporation,7/30/2021,"$62,724,496 ",Y,0,0.91,0.85,8.41,"7,458,323","1,313,085",17.61%,Analyze,
RNER,Mount Rainier Acquisition Corp.,1/3/2022,"$71,579,050 ",Y,0,0.58,0.5,4.99,"7,622,902","10,675,947",140.05%,Analyze,
ACAC,Acri Capital Acquisition Corporation - Class A,12/21/2020,"$90,476,250 ",Y,0,1.01,1.03,10.49,"8,625,000","17,710",0.21%,Analyze,
ARIZ,Arisz Acquisition Corp.,12/9/2021,"$92,040,362 ",Y,0,1.01,1.03,10.33,"8,901,389",820,0.01%,Analyze,
MCAC,Monterey Capital Acquisition Corporation - Class A,7/1/2022,"$95,901,260 ",Y,0,1,1.03,10.22,"9,338,000","2,236",0.02%,Analyze,
DWIN,Delwinds Insurance Acquisition Corp. Class A,12/17/2019,"$98,108,455 ",Y,0,0.88,0.84,8.4,"11,679,578","100,966",0.86%,Analyze,
VHAQ,Viveon Health Acquisition Corp.,2/4/2021,"$109,397,028 ",Y,-15.69,1.01,1.04,10.87,"10,064,124","3,309",0.03%,Analyze,
OACB,Oaktree Acquisition Corp. II Class A,11/9/2020,"$129,063,238 ",Y,0,0.99,0.98,9.38,"13,759,407","23,084",0.17%,Analyze,
BCAC,Brookline Capital Acquisition Corp.,7/18/2017,"$153,203,749 ",Y,0,1.98,2.17,22.71,"6,746,092","183,635",2.72%,Analyze,
FOUN,Founder SPAC - Class A,12/6/2021,"$210,665,023 ",Y,0,0.94,0.93,9.32,"46,300,005","809,306",1.75%,Analyze,
VGII,Virgin Group Acquisition Corp. II Class A,5/13/2021,"$239,890,000 ",Y,-7.6,0.83,0.74,6.11,"40,250,000","1,651,008",4.10%,Analyze,
IMPX,AEA-Bridges Impact Corp. Class A,11/23/2020,"$375,600,000 ",Y,0,0,0,0,"40,000,000","448,563",1.12%,Analyze,
TWND,Tailwind Acquisition Corp. Class A,10/23/2020,"$409,414,237 ",Y,0,1.03,0.88,8.61,"41,776,963","30,220",0.07%,Analyze,
RBAC,RedBall Acquisition Corp. Class A,10/5/2020,"$576,150,000 ",Y,0,1,1.01,10.02,"57,500,000","1,966,168",3.42%,Analyze,
APSG,Apollo Strategic Growth Capital Class A,11/23/2020,"$603,622,590 ",Y,0,0,0,0,"81,681,000","1,077,575",1.32%,Analyze,
FPAC,Far Peak Acquisition Corporation Class A,9/8/2020,"$612,000,000 ",Y,0,1,1.03,10.21,"60,000,000","2,751,779",4.59%,Analyze,
WALD,Waldencast Acquisition Corp. Class A Ordinary Share,5/10/2021,"$691,684,480 ",Y,-6.69,1,0.92,8.28,"86,460,560","16,520",0.02%,Analyze,
PRPB,CC Neuberger Principal Holdings II Class A,9/21/2020,"$774,180,000 ",Y,0,0.99,0.95,9.35,"82,800,000","234,081",0.28%,Analyze,
CRHC,Cohn Robbins Holdings Corp. Class A,10/30/2020,"$828,000,000 ",Y,0,1,1.02,10,"82,800,000","19,961",0.02%,Analyze,
PAQC,Provident Acquisition Corp. Class A,3/1/2021,"$930,526,456 ",Y,0,1.23,1.13,11,"101,475,077","442,615",0.44%,Analyze,
ESSC,East Stone Acquisition Corporation,3/17/2020,"$1,793,074,616 ",Y,0,0.77,0.72,7.3,"7,145,437","418,384",5.86%,Analyze,
