Symbol,Name,IPO date,Market cap,Merger pending?,Leverage factor,Momentum factor 10,Momentum factor 200,Last Close Price,Shares outstanding,Average trading volume,% traded,Action,DB Ptnr?
FMIV,Forum Merger IV Corporation Class A,5/13/2021,"$436,489,747 ",N,0,1,1.03,10.15,"43,003,916","388,785",0.90%,Analyze,
DCRD,Decarbonization Plus Acquisition Corporation IV Class A,10/1/2021,"$447,493,750 ",N,0,0.92,0.93,9.33,"31,625,000","12,001",0.04%,Analyze,
TWLV,Twelve Seas Investment Company II Class A,4/12/2019,"$451,758,000 ",N,0,1,1.02,10.14,"44,290,000","89,676",0.20%,Analyze,
CCV,Churchill Capital Corp V Class A,2/5/2021,"$454,050,000 ",N,0,0.99,1.01,10.09,"45,000,000","825,756",1.84%,Analyze,
IPOD,Social Capital Hedosophia Holdings Corp. IV Class A,11/30/2020,"$461,380,000 ",N,0,1,1.01,10.03,"46,000,000","605,476",1.32%,Analyze,
TSPQ,TCW Special Purpose Acquisition Corp. Class A,4/21/2021,"$464,860,856 ",N,0,1,1.02,10.02,"46,393,299","315,525",0.68%,Analyze,
AGCB,Altimeter Growth Corp. 2 Class A,1/7/2021,"$465,840,500 ",N,0,1,1.02,10.11,"46,100,000","1,910",0.00%,Analyze,
AAC,Ares Acquisition Corporation Class A,10/25/2019,"$485,949,818 ",N,0,1,1.03,10.3,"46,997,081","138,553",0.29%,Analyze,
RMGC,RMG Acquisition Corp. III Class A,3/29/2021,"$492,660,000 ",N,0,1.01,1.01,10.09,"48,300,000","5,999",0.01%,Analyze,
LCA,"Landcadia Holdings IV, Inc. Class A",6/6/2019,"$502,005,000 ",N,0,1.01,1.02,10.1,"50,000,000","39,109",0.08%,Analyze,
NSTD,Northern Star Investment Corp. IV Class A,4/22/2021,"$503,500,000 ",N,0,1,1.01,10.07,"50,000,000","78,480",0.16%,Analyze,
NSTC,Northern Star Investment Corp. III Class A,11/25/2011,"$504,500,000 ",N,0,1,1.01,10.09,"50,000,000","109,603",0.22%,Analyze,
MIT,"Mason Industrial Technology, Inc. Class A",3/22/2021,"$507,000,000 ",N,0,1.01,1.03,10.14,"50,000,000","1,653,260",3.31%,Analyze,
FSNB,Fusion Acquisition Corp. II Class A,4/19/2021,"$509,000,000 ",N,0,1,1.03,10.18,"50,000,000","8,969",0.02%,Analyze,
ALCC,AltC Acquisition Corp. Class A,7/8/2021,"$521,265,675 ",N,0,1,1.03,10.13,"51,450,000","186,676",0.36%,Analyze,
CFIV,CF Acquisition Corp. IV Class A,2/16/2021,"$525,300,000 ",N,0,1,1.03,10.3,"51,000,000",959,0.00%,Analyze,
GHIX,"Gores Holdings IX, Inc. Class A",3/3/2022,"$527,362,500 ",N,0,1,1.03,10.06,"52,500,000","122,252",0.23%,Analyze,
HZON,Horizon Acquisition Corporation II Class A,12/10/2020,"$527,625,000 ",N,0,1,1.01,10.05,"52,500,000","3,263",0.01%,Analyze,
CCVI,Churchill Capital Corp VI Class A,4/5/2021,"$556,968,000 ",N,0,1,1.02,10.1,"55,200,000","428,714",0.78%,Analyze,
WPCB,Warburg Pincus Capital Corporation IB Class A,4/25/2021,"$559,725,000 ",N,0,1,1.02,10.2,"54,875,000","27,257",0.05%,Analyze,
ZURA,Zura Bio Limited Class A,3/21/2023,"$572,872,500 ",N,0,0,0,0,"17,250,000",0,0.00%,Analyze,
VAQC,Vector Acquisition Corporation II - Class A,3/10/2021,"$574,073,500 ",N,0,0.99,1.01,10.01,"57,350,000","15,212",0.03%,Analyze,
