,open,high,low,close,volume,adjusted_close,Date
0,1.91,2.055,1.87,2.02,4915767,2.02,1970-01-01 00:00:01.680048000
1,2.03,2.1484,1.92,1.98,6436350,1.98,1970-01-01 00:00:01.680134400
2,2.0,2.525,1.9727,2.44,30196852,2.44,1970-01-01 00:00:01.680220800
3,2.5,3.18,2.32,3.13,38496165,3.13,1970-01-01 00:00:01.680480000
4,3.05,3.09,2.4201,2.68,21245915,2.68,1970-01-01 00:00:01.680566400
5,2.47,2.58,2.02,2.2,12782713,2.2,1970-01-01 00:00:01.680652800
6,2.17,2.7,2.1,2.51,22517009,2.51,1970-01-01 00:00:01.680739200
