,open,high,low,close,volume,adjusted_close,Date
0,3.19,3.27,3.12,3.27,684378,3.27,1970-01-01 00:00:01.680048000
1,3.29,3.38,3.05,3.11,701163,3.11,1970-01-01 00:00:01.680134400
2,3.13,3.29,3.1,3.27,1163013,3.27,1970-01-01 00:00:01.680220800
3,3.22,3.26,3.165,3.22,625612,3.22,1970-01-01 00:00:01.680480000
4,3.27,3.315,3.1,3.22,1211189,3.22,1970-01-01 00:00:01.680566400
5,3.21,3.445,3.14,3.24,1858834,3.24,1970-01-01 00:00:01.680652800
6,3.25,3.36,3.2,3.29,811947,3.29,1970-01-01 00:00:01.680739200
