,open,high,low,close,volume,adjusted_close,Date
0,0.63,0.64,0.6,0.6,902100,0.6,1970-01-01 00:00:01.680048000
1,0.6,0.65,0.6,0.6,650100,0.6,1970-01-01 00:00:01.680134400
2,0.6,0.64,0.59,0.63,2009100,0.63,1970-01-01 00:00:01.680220800
3,0.64,0.64,0.59,0.6,1226400,0.6,1970-01-01 00:00:01.680480000
4,0.6,0.6333,0.59,0.6029,870738,0.6029,1970-01-01 00:00:01.680566400
5,0.62,0.63,0.59,0.6,1362900,0.6,1970-01-01 00:00:01.680652800
6,0.6,0.61,0.59,0.6,505700,0.6,1970-01-01 00:00:01.680739200
